Fid  | Fcalorie          | Fcarb             | Fprotein          | Ffat              | Fsodium           | Ffiber             
2977 |            125.97 |             33.59 |              0.96 |              0.12 |             14.82 |               0.49 
2978 |             52.44 |             14.08 |              0.37 |              0.09 |              3.68 |               1.75 
2979 |            493.35 |            130.88 |              5.45 |              0.41 |              42.9 |               7.42 
2980 |            646.05 |            169.27 |              4.22 |              0.62 |              23.6 |               5.01 
2981 |             488.4 |            129.48 |              4.16 |              0.89 |              46.2 |              11.22 
2982 |               123 |              31.3 |              0.97 |              0.32 |              16.5 |               1.35 
2983 |             63.96 |             14.69 |              1.48 |               0.8 |              1.23 |                  8 
2984 |             257.5 |              65.4 |              1.75 |               0.4 |               2.5 |                 11 
2985 |               130 |             29.85 |                 3 |              1.62 |               2.5 |              16.25 
2986 |             62.72 |             15.46 |              1.57 |              0.22 |              1.12 |               4.82 
2987 |             78.12 |             18.82 |              0.42 |              0.18 |              1.26 |               3.78 
2988 |             64.31 |             15.33 |              0.29 |              0.22 |              1.09 |               2.51 
2989 |            104.19 |             27.33 |              1.09 |              0.24 |              3.02 |               1.36 
2990 |             25.62 |              5.54 |               1.1 |              0.24 |              4.88 |                2.2 
2991 |             278.4 |             74.88 |              0.94 |              0.12 |               2.4 |                4.8 
2992 |               144 |             36.65 |              1.18 |              0.24 |               4.8 |               3.84 
2993 |              50.4 |              10.9 |              2.16 |              0.48 |               9.6 |               4.32 
